序号,车型,车数,天数,目的地,距离_km,行驶费,时间费,单次总费
395,7.6,1,2,天津滨海新区空港物流加工区环河南路8场院内6幢北楼二层、南楼一层,968.76,2325.02,2364.2,4689.22
396,7.6,1,2,天津滨海新区空港物流加工区环河南路8场院内6幢北楼二层、南楼一层,968.76,2325.02,2364.2,4689.22
397,7.6,1,2,天津市北辰区科技园区泾河道,986.7,2368.08,2364.2,4732.28
398,7.6,1,2,天津市北辰区科技园区泾河道,986.7,2368.08,2364.2,4732.28
399,7.6,1,2,天津市北辰区科技园区泾河道,986.7,2368.08,2364.2,4732.28
400,7.6,1,2,天津市北辰区科技园区泾河道,986.7,2368.08,2364.2,4732.28
401,7.6,1,2,北京市西城区广外马连道东街1,1102.15,2645.16,2364.2,5009.36
402,7.6,1,2,北京市西城区广外马连道东街1,1102.15,2645.16,2364.2,5009.36
403,7.6,1,2,北京市西城区广外马连道东街1,1102.15,2645.16,2364.2,5009.36
404,7.6,1,2,北京市西城区广外马连道东街1,1102.15,2645.16,2364.2,5009.36
405,7.6,1,2,北京市西城区广外马连道东街1,1102.15,2645.16,2364.2,5009.36
