序号,车型,车数,天数,目的地,距离_km,行驶费,时间费,单次总费
170,7.6,1,3,沈阳市浑南区祝科街4C库单元,1337.96,3211.1,3546.3,6757.41
171,7.6,1,1,上海市康宁路108,119.27,286.25,1182.1,1468.35
172,7.6,1,1,上海市康宁路108,119.27,286.25,1182.1,1468.35
173,7.6,1,1,上海市康宁路108,119.27,286.25,1182.1,1468.35
174,7.6,1,1,上海市绥德路9,140.68,337.63,1182.1,1519.73
175,7.6,1,1,上海市绥德路9,140.68,337.63,1182.1,1519.73
176,7.6,1,1,上海市绥德路9,140.68,337.63,1182.1,1519.73
177,7.6,1,1,上海市绥德路9,140.68,337.63,1182.1,1519.73
178,7.6,1,1,苏州市工业园区复兴街8,97.7,234.48,1182.1,1416.58
179,7.6,1,1,苏州市工业园区复兴街8,97.7,234.48,1182.1,1416.58
180,7.6,1,1,苏州市工业园区复兴街8,97.7,234.48,1182.1,1416.58
181,7.6,1,1,苏州市工业园区复兴街8,97.7,234.48,1182.1,1416.58
182,7.6,1,1,丽水市大众街1,506.44,1215.46,1182.1,2397.56
183,7.6,1,1,扬州市运河北路10,157.97,379.13,1182.1,1561.23
184,7.6,1,1,扬州市运河北路10,157.97,379.13,1182.1,1561.23
185,7.6,1,1,宁波市江北区金山路36,277.0,664.8,1182.1,1846.9
186,7.6,1,1,宁波市江北区金山路36,277.0,664.8,1182.1,1846.9
187,7.6,1,1,义乌市香山路49,359.54,862.9,1182.1,2045.0
188,7.6,1,1,金华市金东区金园路2,395.25,948.6,1182.1,2130.7
189,7.6,1,2,"兰州市七里河区西津西路42(一楼231,23库,地下负一层22库)",1912.94,4591.06,2364.2,6955.26
190,7.6,1,4,乌鲁木齐市高新技术开发区长春南路119,3812.32,9149.57,4728.4,13877.97
191,7.6,1,4,乌鲁木齐市高新技术开发区长春南路119,3812.32,9149.57,4728.4,13877.97
192,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
193,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
194,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
195,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
196,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
197,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
198,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
199,7.6,1,5,乌鲁木齐市高新区（新市区）西彩路58,3804.51,9130.82,5910.5,15041.33
